   证券代码            证券名称
002183.SZ       怡亚通
002210.SZ       飞马国际
002245.SZ       澳洋顺昌
002492.SZ       恒基达鑫
002711.SZ       欧浦智网
002769.SZ       普路通
200053.SZ       深基地B
300013.SZ       新宁物流
300240.SZ       飞力达
300350.SZ       华鹏飞
600057.SH       象屿股份
600119.SH       长江投资
600153.SH       建发股份
600180.SH       瑞茂通
600270.SH       外运发展
600676.SH       交运股份
600787.SH       中储股份
600794.SH       保税科技
603117.SH       万林股份
603128.SH       华贸物流


数据来源：东方财富Choice数据
