   证券代码            证券名称
000028.SZ       国药一致
000411.SZ       英特集团
000591.SZ       太阳能
000705.SZ       浙江震元
000963.SZ       华东医药
002462.SZ       嘉事堂
002589.SZ       瑞康医药
200028.SZ       一致B
600511.SH       国药股份
600713.SH       南京医药
600833.SH       第一医药
600998.SH       九州通
601607.SH       上海医药


数据来源：东方财富Choice数据
