证券代码	证券名称	"总股本
[截止日期]2016-12-31
[单位]股"	"流通A股
[截止日期]2016-12-31
[单位]股"	"自由流通股本
[截止日期]2016-12-31
[单位]股"	"总股本
[截止日期]2016-09-30
[单位]股"	"流通A股
[截止日期]2016-09-30
[单位]股"	"自由流通股本
[截止日期]2016-09-30
[单位]股"	"总股本
[截止日期]2016-06-30
[单位]股"	"流通A股
[截止日期]2016-06-30
[单位]股"	"自由流通股本
[截止日期]2016-06-30
[单位]股"	"总股本
[截止日期]2015-12-31
[单位]股"	"流通A股
[截止日期]2015-12-31
[单位]股"	"自由流通股本
[截止日期]2015-12-31
[单位]股"	"总股本
[截止日期]2015-06-30
[单位]股"	"流通A股
[截止日期]2015-06-30
[单位]股"	"自由流通股本
[截止日期]2015-06-30
[单位]股"	"总股本
[截止日期]2014-12-31
[单位]股"	"流通A股
[截止日期]2014-12-31
[单位]股"	"自由流通股本
[截止日期]2014-12-31
[单位]股"	"总股本
[截止日期]2014-06-30
[单位]股"	"流通A股
[截止日期]2014-06-30
[单位]股"	"自由流通股本
[截止日期]2014-06-30
[单位]股"	"总股本
[截止日期]2013-12-31
[单位]股"	"流通A股
[截止日期]2013-12-31
[单位]股"	"自由流通股本
[截止日期]2013-12-31
[单位]股"	"总股本
[截止日期]2013-06-30
[单位]股"	"流通A股
[截止日期]2013-06-30
[单位]股"	"自由流通股本
[截止日期]2013-06-30
[单位]股"	"总股本
[截止日期]2012-12-31
[单位]股"	"流通A股
[截止日期]2012-12-31
[单位]股"	"自由流通股本
[截止日期]2012-12-31
[单位]股"	"总股本
[截止日期]2012-06-30
[单位]股"	"流通A股
[截止日期]2012-06-30
[单位]股"	"总股本
[截止日期]2011-12-31
[单位]股"	"流通A股
[截止日期]2011-12-31
[单位]股"	"总股本
[截止日期]2011-06-30
[单位]股"	"流通A股
[截止日期]2011-06-30
[单位]股"	"总股本
[截止日期]2010-12-31
[单位]股"	"流通A股
[截止日期]2010-12-31
[单位]股"	"总股本
[截止日期]2010-06-30
[单位]股"	"流通A股
[截止日期]2010-06-30
[单位]股"
601212.SH	白银有色	"6,274,965,867"	——	——	"6,274,965,867"	——	——	"6,274,965,867"	——	——	"6,274,965,867"	——	——	"6,274,965,867"	——	——	"6,274,965,867"	——	——	"6,274,965,867"	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——
601216.SH	君正集团	"8,438,017,390"	"7,372,800,000"	"2,531,405,217"	"8,438,017,390"	"7,372,800,000"	"2,531,405,217"	"4,219,008,695"	"3,686,400,000"	"1,265,702,609"	"3,686,400,000"	"3,686,400,000"	"1,105,920,000"	"2,048,000,000"	"2,048,000,000"	"614,400,000"	"2,048,000,000"	"2,048,000,000"	"614,400,000"	"1,280,000,000"	"1,280,000,000"	"384,000,000"	"1,280,000,000"	"498,360,000"	"384,000,000"	"1,280,000,000"	"498,360,000"	"384,000,000"	"1,280,000,000"	"498,360,000"	"384,000,000"	"1,280,000,000"	"498,360,000"	"640,000,000"	"120,000,000"	"640,000,000"	"120,000,000"	——	——	——	——
601218.SH	吉鑫科技	"991,760,000"	"991,760,000"	"694,232,000"	"991,760,000"	"991,760,000"	"694,232,000"	"991,760,000"	"991,760,000"	"694,232,000"	"991,760,000"	"991,760,000"	"694,232,000"	"991,760,000"	"991,760,000"	"694,232,000"	"991,760,000"	"991,760,000"	"495,880,000"	"991,760,000"	"637,822,020"	"297,528,000"	"991,760,000"	"307,186,000"	"297,528,000"	"991,760,000"	"307,186,000"	"396,704,000"	"450,800,000"	"139,630,000"	"90,160,000"	"450,800,000"	"139,630,000"	"450,800,000"	"50,800,000"	"450,800,000"	"40,640,000"	——	——	——	——
601222.SH	林洋能源	"1,742,531,819"	"1,423,105,498"	"697,012,728"	"1,742,531,819"	"1,423,105,498"	"522,759,546"	"497,866,234"	"406,601,571"	"149,359,870"	"406,601,571"	"355,173,000"	"162,640,628"	"406,601,571"	"352,305,000"	"121,980,471"	"355,173,000"	"352,305,000"	"142,069,200"	"355,180,000"	"119,396,250"	"142,072,000"	"355,180,000"	"119,396,250"	"142,072,000"	"355,290,000"	"117,600,000"	"106,587,000"	"355,290,000"	"114,000,000"	"106,587,000"	"348,000,000"	"90,000,000"	"290,000,000"	"75,000,000"	——	——	——	——	——	——
601225.SH	陕西煤业	"10,000,000,000"	"2,710,000,000"	"2,000,000,000"	"10,000,000,000"	"2,710,000,000"	"2,000,000,000"	"10,000,000,000"	"2,710,000,000"	"2,000,000,000"	"10,000,000,000"	"2,710,000,000"	"2,000,000,000"	"10,000,000,000"	"2,710,000,000"	"2,000,000,000"	"10,000,000,000"	"500,000,000"	"475,910,000"	"10,000,000,000"	"500,000,000"	"500,000,000"	"9,000,000,000"	——	——	"9,000,000,000"	——	——	"9,000,000,000"	——	——	"9,000,000,000"	——	"9,000,000,000"	——	"9,000,000,000"	——	"9,000,000,000"	——	——	——
601226.SH	华电重工	"1,155,000,000"	"405,000,000"	"462,000,000"	"1,155,000,000"	"367,500,000"	"346,500,000"	"1,155,000,000"	"367,500,000"	"346,500,000"	"1,155,000,000"	"367,500,000"	"231,000,000"	"1,155,000,000"	"225,000,000"	"231,000,000"	"770,000,000"	"150,000,000"	"154,000,000"	"620,000,000"	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——	——
601229.SH	上海银行	"6,004,450,000"	"600,450,000"	"660,489,500"	"5,404,000,000"	——	——	"4,704,000,000"	——	——	"4,704,000,000"	——	——	"4,704,000,000"	——	——	"4,704,000,000"	——	——	"4,704,000,000"	——	——	"4,234,000,000"	——	——	"4,234,000,000"	——	——	"4,234,000,000"	——	——	"4,234,000,000"	——	"4,234,000,000"	——	"4,234,000,000"	——	"4,234,000,000"	——	"4,234,000,000"	0
601231.SH	环旭电子	"2,175,923,580"	"2,175,923,580"	"652,777,074"	"2,175,923,580"	"2,175,923,580"	"652,777,074"	"2,175,923,580"	"2,175,923,580"	"652,777,074"	"2,175,923,580"	"2,175,923,580"	"326,388,537"	"2,175,923,580"	"2,023,447,602"	"217,592,358"	"1,087,961,790"	"106,800,000"	"106,799,769"	"1,011,723,801"	"106,800,000"	"202,344,760"	"1,011,723,801"	"106,800,000"	"202,344,760"	"1,011,723,801"	"106,800,000"	"202,344,760"	"1,011,723,801"	"106,800,000"	"85,499,767"	"1,011,723,801"	"106,800,000"	"904,923,801"	0	——	——	——	——	——	——
601233.SH	桐昆股份	"1,231,936,300"	"963,600,000"	"369,580,890"	"1,231,936,300"	"963,600,000"	"369,580,890"	"1,231,936,300"	"963,600,000"	"369,580,890"	"963,600,000"	"963,600,000"	"385,440,000"	"963,600,000"	"963,600,000"	"385,440,000"	"963,600,000"	"959,270,707"	"289,080,000"	"963,600,000"	"959,270,707"	"289,080,000"	"963,600,000"	"525,762,430"	"289,080,000"	"963,600,000"	"525,762,430"	"289,080,000"	"963,600,000"	"442,162,430"	"289,080,000"	"963,600,000"	"442,162,430"	"963,600,000"	"240,000,000"	"481,800,000"	"96,000,000"	——	——	——	——
601238.SH	广汽集团	"6,453,360,605"	"4,240,060,387"	"339,129,930"	"6,450,053,139"	"4,236,752,921"	"548,823,584"	"6,435,020,097"	"4,221,719,879"	"548,823,584"	"6,435,020,097"	"4,221,719,879"	"548,823,584"	"6,435,020,097"	"4,221,719,879"	"548,823,584"	"6,435,020,097"	"604,316,350"	"844,343,976"	"6,435,020,097"	"604,316,350"	"844,343,976"	"6,435,020,097"	"604,316,350"	"844,343,976"	"6,435,020,097"	"604,316,350"	"212,614,257"	"6,435,020,097"	"286,962,422"	"286,962,965"	"6,435,020,097"	"286,962,422"	"3,499,665,555"	0	"3,499,665,555"	0	"3,499,665,555"	0	"3,499,665,555"	0
601258.SH	庞大集团	"6,675,063,402"	"6,480,113,402"	"4,672,544,381"	"6,675,063,402"	"6,480,113,402"	"4,536,079,381"	"6,675,063,402"	"6,480,113,402"	"4,536,079,381"	"6,480,113,402"	"6,480,113,402"	"3,240,056,701"	"6,480,113,402"	"5,243,000,000"	"3,240,056,701"	"3,240,056,701"	"2,621,500,000"	"1,296,022,680"	"2,621,500,000"	"1,794,219,700"	"786,450,000"	"2,621,500,000"	"713,440,000"	"786,450,000"	"2,621,500,000"	"713,440,000"	"524,300,000"	"2,621,500,000"	"713,440,000"	"524,300,000"	"2,621,500,000"	"713,440,000"	"2,621,500,000"	"350,000,000"	"1,048,600,000"	"112,000,000"	——	——	——	——
