日期	Wind代码	证券名称	权重
2017-03-28	000541	佛山照明	0.028000 
2017-03-28	000543	皖能电力	0.036000 
2017-03-28	000544	中原环保	0.012000 
2017-03-28	000545	金浦钛业	0.019000 
2017-03-28	000546	金圆股份	0.014000 
2017-03-28	000547	航天发展	0.071000 
2017-03-28	000548	湖南投资	0.017000 
2017-03-28	000550	江铃汽车	0.027000 
2017-03-28	000551	创元科技	0.014000 
2017-03-28	000552	靖远煤电	0.025000 
2017-03-28	000553	沙隆达A	0.016000 
2017-03-28	000554	泰山石油	0.022000 
2017-03-28	000555	神州信息	0.027000 
2017-03-28	000557	西部创业	0.016000 
2017-03-28	000558	莱茵体育	0.029000 
2017-03-28	000559	万向钱潮	0.067000 
2017-03-28	000560	昆百大A	0.017000 
2017-03-28	000561	烽火电子	0.022000 
2017-03-28	000563	陕国投A	0.036000 
2017-03-28	000564	供销大集	0.016000 
2017-03-28	000565	渝三峡A	0.015000 
2017-03-28	000566	海南海药	0.052000 
2017-03-28	000567	海德股份	0.018000 
2017-03-28	000568	泸州老窖	0.120000 
2017-03-28	000570	苏常柴A	0.011000 
2017-03-28	000571	新大洲A	0.024000 
2017-03-28	000572	海马汽车	0.033000 
2017-03-28	000573	粤宏远A	0.027000 
2017-03-28	000576	广东甘化	0.020000 
2017-03-28	000581	威孚高科	0.064000 
2017-03-28	000582	北部湾港	0.022000 
2017-03-28	000584	友利控股	0.023000 
2017-03-28	000585	东北电气	0.024000 
2017-03-28	000586	汇源通信	0.015000 
2017-03-28	000587	金洲慈航	0.031000 
2017-03-28	000589	黔轮胎A	0.018000 
2017-03-28	000590	启迪古汉	0.013000 
2017-03-28	000591	太阳能	0.018000 
2017-03-28	000592	平潭发展	0.037000 
2017-03-28	000593	大通燃气	0.009000 
2017-03-28	000595	宝塔实业	0.016000 
2017-03-28	000596	古井贡酒	0.027000 
2017-03-28	000597	东北制药	0.017000 
2017-03-28	000598	兴蓉环境	0.049000 
2017-03-28	000599	青岛双星	0.022000 
2017-03-28	000600	建投能源	0.031000 
2017-03-28	000601	韶能股份	0.029000 
2017-03-28	000603	盛达矿业	0.029000 
2017-03-28	000605	渤海股份	0.007000 
2017-03-28	000607	华媒控股	0.019000 
2017-03-28	000608	阳光股份	0.019000 
2017-03-28	000609	绵石投资	0.018000 
2017-03-28	000610	西安旅游	0.013000 
2017-03-28	000612	焦作万方	0.042000 
2017-03-28	000613	大东海A	0.015000 
2017-03-28	000615	京汉股份	0.023000 
2017-03-28	000616	海航投资	0.027000 
2017-03-28	000619	海螺型材	0.013000 
2017-03-28	000620	新华联	0.029000 
2017-03-28	000623	吉林敖东	0.097000 
2017-03-28	000625	长安汽车	0.146000 
2017-03-28	000626	远大控股	0.020000 
2017-03-28	000627	天茂集团	0.045000 
2017-03-28	000628	高新发展	0.012000 
2017-03-28	000630	铜陵有色	0.096000 
2017-03-28	000631	顺发恒业	0.017000 
2017-03-28	000632	三木集团	0.019000 
2017-03-28	000635	英力特	0.019000 
2017-03-28	000636	风华高科	0.031000 
2017-03-28	000637	茂化实华	0.012000 
2017-03-28	000638	万方发展	0.013000 
2017-03-28	000639	西王食品	0.018000 
2017-03-28	000650	仁和药业	0.028000 
2017-03-28	000651	格力电器	0.607000 
2017-03-28	000652	泰达股份	0.029000 
2017-03-28	000655	金岭矿业	0.014000 
2017-03-28	000656	金科股份	0.100000 
2017-03-28	000657	中钨高新	0.018000 
2017-03-28	000659	珠海中富	0.036000 
2017-03-28	000661	长春高新	0.068000 
2017-03-28	000662	天夏智慧	0.023000 
2017-03-28	000663	永安林业	0.010000 
2017-03-28	000665	湖北广电	0.017000 
2017-03-28	000666	经纬纺机	0.036000 
2017-03-28	000667	美好置业	0.044000 
2017-03-28	000668	荣丰控股	0.011000 
2017-03-28	000669	金鸿能源	0.027000 
2017-03-28	000671	阳光城	0.042000 
2017-03-28	000672	上峰水泥	0.018000 
2017-03-28	000673	当代东方	0.025000 
2017-03-28	000676	智度股份	0.024000 
2017-03-28	000677	恒天海龙	0.017000 
2017-03-28	000678	襄阳轴承	0.014000 
2017-03-28	000679	大连友谊	0.017000 
2017-03-28	000680	山推股份	0.030000 
2017-03-28	000681	视觉中国	0.025000 
2017-03-28	000682	东方电子	0.023000 
2017-03-28	000683	远兴能源	0.028000 
2017-03-28	000685	中山公用	0.038000 
2017-03-28	000686	东北证券	0.080000 
2017-03-28	000687	华讯方舟	0.034000 
2017-03-28	000688	建新矿业	0.016000 
2017-03-28	000690	宝新能源	0.056000 
2017-03-28	000692	惠天热电	0.011000 
2017-03-28	000695	滨海能源	0.013000 
2017-03-28	000697	炼石有色	0.048000 
2017-03-28	000698	沈阳化工	0.019000 
2017-03-28	000700	模塑科技	0.020000 
2017-03-28	000701	厦门信达	0.016000 
2017-03-28	000702	正虹科技	0.014000 
2017-03-28	000703	恒逸石化	0.033000 
2017-03-28	000705	浙江震元	0.020000 
2017-03-28	000707	双环科技	0.015000 
2017-03-28	000708	大冶特钢	0.014000 
2017-03-28	000709	河钢股份	0.076000 
2017-03-28	000710	*ST天仪	0.016000 
2017-03-28	000711	京蓝科技	0.024000 
2017-03-28	000712	锦龙股份	0.045000 
2017-03-28	000713	丰乐种业	0.011000 
2017-03-28	000715	中兴商业	0.008000 
2017-03-28	000716	黑芝麻	0.017000 
2017-03-28	000718	苏宁环球	0.041000 
2017-03-28	000719	大地传媒	0.018000 
2017-03-28	000720	新能泰山	0.026000 
2017-03-28	000721	西安饮食	0.014000 
2017-03-28	000722	湖南发展	0.014000 
2017-03-28	000723	美锦能源	0.012000 
2017-03-28	000725	京东方A	0.357000 
2017-03-28	000726	鲁泰A	0.025000 
2017-03-28	000727	华东科技	0.041000 
2017-03-28	000728	国元证券	0.109000 
2017-03-28	000729	燕京啤酒	0.049000 
2017-03-28	000731	四川美丰	0.025000 
2017-03-28	000732	泰禾集团	0.040000 
2017-03-28	000733	振华科技	0.027000 
2017-03-28	000735	罗牛山	0.026000 
2017-03-28	000736	中房地产	0.008000 
2017-03-28	000737	南风化工	0.014000 
2017-03-28	000738	中航动控	0.053000 
2017-03-28	000739	普洛药业	0.026000 
2017-03-28	000750	国海证券	0.092000 
2017-03-28	000751	锌业股份	0.032000 
2017-03-28	000752	西藏发展	0.019000 
2017-03-28	000753	漳州发展	0.018000 
2017-03-28	000755	山西三维	0.013000 
2017-03-28	000756	新华制药	0.009000 
2017-03-28	000757	浩物股份	0.015000 
2017-03-28	000758	中色股份	0.048000 
2017-03-28	000759	中百集团	0.020000 
2017-03-28	000760	斯太尔	0.019000 
2017-03-28	000761	本钢板材	0.009000 
2017-03-28	000762	西藏矿业	0.035000 
2017-03-28	000766	通化金马	0.032000 
2017-03-28	000767	漳泽电力	0.022000 
2017-03-28	000768	中航飞机	0.148000 
2017-03-28	000776	广发证券	0.239000 
2017-03-28	000777	中核科技	0.031000 
2017-03-28	000778	新兴铸管	0.057000 
2017-03-28	000779	三毛派神	0.016000 
2017-03-28	000780	平庄能源	0.011000 
2017-03-28	000782	美达股份	0.021000 
2017-03-28	000783	长江证券	0.158000 
2017-03-28	000785	武汉中商	0.010000 
2017-03-28	000786	北新建材	0.048000 
2017-03-28	000788	北大医药	0.022000 
2017-03-28	000789	万年青	0.016000 
2017-03-28	000790	泰合健康	0.019000 
2017-03-28	000791	甘肃电投	0.008000 
2017-03-28	000792	盐湖股份	0.063000 
2017-03-28	000793	华闻传媒	0.105000 
2017-03-28	000795	英洛华	0.019000 
2017-03-28	000796	凯撒旅游	0.017000 
2017-03-28	000797	中国武夷	0.021000 
2017-03-28	000798	中水渔业	0.009000 
2017-03-28	000799	酒鬼酒	0.022000 
2017-03-28	000800	一汽轿车	0.044000 
2017-03-28	000801	四川九洲	0.036000 
2017-03-28	000802	北京文化	0.024000 
2017-03-28	000803	*ST金宇	0.010000 
2017-03-28	000806	银河生物	0.038000 
2017-03-28	000807	云铝股份	0.035000 
2017-03-28	000809	铁岭新城	0.014000 
2017-03-28	000810	创维数字	0.034000 
2017-03-28	000811	烟台冰轮	0.019000 
2017-03-28	000812	陕西金叶	0.021000 
2017-03-28	000813	德展健康	0.020000 
2017-03-28	000815	美利云	0.024000 
2017-03-28	000816	智慧农业	0.034000 
2017-03-28	000818	方大化工	0.029000 
2017-03-28	000819	岳阳兴长	0.022000 
2017-03-28	000820	神雾节能	0.050000 
2017-03-28	000821	京山轻机	0.021000 
2017-03-28	000822	山东海化	0.018000 
2017-03-28	000823	超声电子	0.023000 
2017-03-28	000825	太钢不锈	0.053000 
2017-03-28	000826	启迪桑德	0.081000 
2017-03-28	000828	东莞控股	0.025000 
2017-03-28	000829	天音控股	0.030000 
2017-03-28	000830	鲁西化工	0.030000 
2017-03-28	000833	贵糖股份	0.012000 
2017-03-28	000835	长城动漫	0.017000 
2017-03-28	000836	鑫茂科技	0.042000 
2017-03-28	000837	秦川机床	0.022000 
2017-03-28	000838	财信发展	0.017000 
2017-03-28	000839	中信国安	0.140000 
2017-03-28	000848	承德露露	0.031000 
2017-03-28	000850	华茂股份	0.017000 
2017-03-28	000851	高鸿股份	0.028000 
2017-03-28	000852	石化机械	0.018000 
2017-03-28	000858	五粮液	0.345000 
2017-03-28	000859	国风塑业	0.016000 
2017-03-28	000860	顺鑫农业	0.041000 
2017-03-28	000861	海印股份	0.025000 
2017-03-28	000862	银星能源	0.010000 
2017-03-28	000863	三湘印象	0.022000 
2017-03-28	000868	安凯客车	0.016000 
2017-03-28	000869	张裕A	0.023000 
2017-03-28	000875	吉电股份	0.031000 
2017-03-28	000876	新希望	0.078000 
2017-03-28	000877	天山股份	0.039000 
2017-03-28	000878	云南铜业	0.059000 
2017-03-28	000880	潍柴重机	0.010000 
2017-03-28	000881	中广核技	0.037000 
2017-03-28	000882	华联股份	0.036000 
2017-03-28	000883	湖北能源	0.043000 
2017-03-28	000885	同力水泥	0.011000 
2017-03-28	000886	海南高速	0.020000 
2017-03-28	000887	中鼎股份	0.067000 
2017-03-28	000888	峨眉山A	0.020000 
2017-03-28	000889	茂业通信	0.020000 
2017-03-28	000890	法尔胜	0.016000 
2017-03-28	000892	欢瑞世纪	0.023000 
2017-03-28	000893	东凌国际	0.020000 
2017-03-28	000895	双汇发展	0.098000 
2017-03-28	000897	津滨发展	0.031000 
2017-03-28	000898	鞍钢股份	0.051000 
2017-03-28	000899	赣能股份	0.012000 
2017-03-28	000900	现代投资	0.029000 
2017-03-28	000901	航天科技	0.040000 
2017-03-28	000902	新洋丰	0.030000 
2017-03-28	000903	云内动力	0.021000 
2017-03-28	000905	厦门港务	0.015000 
2017-03-28	000906	浙商中拓	0.016000 
2017-03-28	000908	景峰医药	0.013000 
2017-03-28	000909	数源科技	0.012000 
2017-03-28	000910	大亚圣象	0.030000 
2017-03-28	000911	南宁糖业	0.014000 
2017-03-28	000912	泸天化	0.018000 
2017-03-28	000915	山大华特	0.027000 
2017-03-28	000916	华北高速	0.010000 
2017-03-28	000917	电广传媒	0.076000 
2017-03-28	000918	嘉凯城	0.026000 
2017-03-28	000919	金陵药业	0.019000 
2017-03-28	000920	南方汇通	0.017000 
2017-03-28	000921	海信科龙	0.020000 
2017-03-28	000922	*ST佳电	0.015000 
2017-03-28	000923	河北宣工	0.013000 
2017-03-28	000925	众合科技	0.020000 
2017-03-28	000926	福星股份	0.032000 
2017-03-28	000927	一汽夏利	0.014000 
2017-03-28	000928	中钢国际	0.032000 
2017-03-28	000929	兰州黄河	0.011000 
2017-03-28	000930	中粮生化	0.063000 
2017-03-28	000931	中关村	0.024000 
2017-03-28	000932	华菱钢铁	0.037000 
2017-03-28	000935	四川双马	0.024000 
2017-03-28	000936	华西股份	0.020000 
2017-03-28	000937	冀中能源	0.035000 
2017-03-28	000938	紫光股份	0.038000 
2017-03-28	000939	凯迪生态	0.045000 
2017-03-28	000948	南天信息	0.013000 
2017-03-28	000949	新乡化纤	0.021000 
2017-03-28	000951	中国重汽	0.019000 
2017-03-28	000952	广济药业	0.024000 
2017-03-28	000953	*ST河化	0.011000 
2017-03-28	000955	欣龙控股	0.018000 
2017-03-28	000957	中通客车	0.030000 
2017-03-28	000958	东方能源	0.018000 
2017-03-28	000959	首钢股份	0.053000 
2017-03-28	000960	锡业股份	0.049000 
2017-03-28	000961	中南建设	0.051000 
2017-03-28	000963	华东医药	0.087000 
2017-03-28	000965	天保基建	0.017000 
2017-03-28	000966	长源电力	0.018000 
2017-03-28	000967	盈峰环境	0.020000 
2017-03-28	000969	安泰科技	0.026000 
2017-03-28	000970	中科三环	0.055000 
2017-03-28	000971	高升控股	0.020000 
2017-03-28	000972	中基健康	0.018000 
2017-03-28	000973	佛塑科技	0.026000 
2017-03-28	000975	银泰资源	0.050000 
2017-03-28	000976	春晖股份	0.028000 
2017-03-28	000977	浪潮信息	0.058000 
2017-03-28	000978	桂林旅游	0.013000 
2017-03-28	000979	中弘股份	0.044000 
2017-03-28	000980	金马股份	0.036000 
2017-03-28	000981	银亿股份	0.043000 
2017-03-28	000982	中银绒业	0.038000 
2017-03-28	000983	西山煤电	0.068000 
2017-03-28	000985	大庆华科	0.008000 
2017-03-28	000987	越秀金控	0.017000 
2017-03-28	000988	华工科技	0.044000 
2017-03-28	000989	九芝堂	0.025000 
2017-03-28	000990	诚志股份	0.014000 
2017-03-28	000993	闽东电力	0.011000 
2017-03-28	000996	中国中期	0.025000 
2017-03-28	000997	新大陆	0.055000 
2017-03-28	000998	隆平高科	0.057000 
2017-03-28	000999	华润三九	0.047000 
2017-03-28	001696	宗申动力	0.029000 
2017-03-28	001896	豫能控股	0.020000 
2017-03-28	001979	招商蛇口	0.187000 
2017-03-28	002001	新和成	0.050000 
2017-03-28	002002	鸿达兴业	0.035000 
2017-03-28	002003	伟星股份	0.018000 
2017-03-28	002004	华邦健康	0.056000 
2017-03-28	002005	德豪润达	0.026000 
2017-03-28	002006	精功科技	0.015000 
2017-03-28	002007	华兰生物	0.094000 
2017-03-28	002008	大族激光	0.094000 
2017-03-28	002009	天奇股份	0.018000 
2017-03-28	002010	传化智联	0.028000 
2017-03-28	002011	盾安环境	0.025000 
2017-03-28	002012	凯恩股份	0.031000 
2017-03-28	002013	中航机电	0.051000 
2017-03-28	002014	永新股份	0.012000 
2017-03-28	002015	霞客环保	0.013000 
2017-03-28	002016	世荣兆业	0.011000 
2017-03-28	002017	东信和平	0.014000 
2017-03-28	002018	华信国际	0.038000 
2017-03-28	002019	亿帆医药	0.044000 
2017-03-28	002020	京新药业	0.021000 
2017-03-28	002021	中捷资源	0.018000 
2017-03-28	002022	科华生物	0.039000 
2017-03-28	002023	海特高新	0.039000 
2017-03-28	002024	苏宁云商	0.194000 
2017-03-28	002025	航天电器	0.030000 
2017-03-28	002026	山东威达	0.013000 
2017-03-28	002027	分众传媒	0.035000 
2017-03-28	002028	思源电气	0.036000 
2017-03-28	002029	七匹狼	0.022000 
2017-03-28	002030	达安基因	0.051000 
2017-03-28	002031	巨轮智能	0.024000 
2017-03-28	002032	苏泊尔	0.022000 
2017-03-28	002033	丽江旅游	0.020000 
2017-03-28	002034	美欣达	0.014000 
2017-03-28	002035	华帝股份	0.034000 
2017-03-28	002036	联创电子	0.026000 
2017-03-28	002037	久联发展	0.021000 
2017-03-28	002038	双鹭药业	0.053000 
2017-03-28	002039	黔源电力	0.019000 
2017-03-28	002040	南京港	0.010000 
2017-03-28	002041	登海种业	0.030000 
2017-03-28	002042	华孚色纺	0.023000 
2017-03-28	002043	兔宝宝	0.029000 
2017-03-28	002044	美年健康	0.072000 
2017-03-28	002045	国光电器	0.019000 
2017-03-28	002046	轴研科技	0.014000 
2017-03-28	002047	宝鹰股份	0.039000 
2017-03-28	002048	宁波华翔	0.043000 
2017-03-28	002049	紫光国芯	0.052000 
2017-03-28	002050	三花智控	0.036000 
2017-03-28	002051	中工国际	0.044000 
2017-03-28	002052	同洲电子	0.034000 
2017-03-28	002053	云南能投	0.018000 
2017-03-28	002054	德美化工	0.011000 
2017-03-28	002055	得润电子	0.027000 
2017-03-28	002056	横店东磁	0.027000 
2017-03-28	002057	中钢天源	0.010000 
2017-03-28	002058	威尔泰	0.012000 
2017-03-28	002059	云南旅游	0.012000 
2017-03-28	002060	粤水电	0.015000 
2017-03-28	002062	宏润建设	0.014000 
2017-03-28	002063	远光软件	0.029000 
2017-03-28	002064	华峰氨纶	0.024000 
2017-03-28	002065	东华软件	0.091000 
2017-03-28	002066	瑞泰科技	0.011000 
2017-03-28	002067	景兴纸业	0.035000 
2017-03-28	002068	黑猫股份	0.016000 
2017-03-28	002070	众和股份	0.034000 
2017-03-28	002071	长城影视	0.019000 
2017-03-28	002072	凯瑞德	0.021000 
2017-03-28	002073	软控股份	0.032000 
2017-03-28	002074	国轩高科	0.061000 
2017-03-28	002075	沙钢股份	0.098000 
2017-03-28	002076	雪莱特	0.011000 
2017-03-28	002077	大港股份	0.013000 
2017-03-28	002078	太阳纸业	0.043000 
2017-03-28	002079	苏州固锝	0.018000 
2017-03-28	002080	中材科技	0.022000 
2017-03-28	002081	金螳螂	0.079000 
2017-03-28	002082	栋梁新材	0.021000 
2017-03-28	002083	孚日股份	0.021000 
2017-03-28	002084	海鸥卫浴	0.011000 
2017-03-28	002085	万丰奥威	0.076000 
2017-03-28	002086	东方海洋	0.020000 
2017-03-28	002087	新野纺织	0.016000 
2017-03-28	002088	鲁阳节能	0.014000 
2017-03-28	002089	新海宜	0.033000 
2017-03-28	002090	金智科技	0.015000 
2017-03-28	002091	江苏国泰	0.030000 
2017-03-28	002092	中泰化学	0.078000 
2017-03-28	002093	国脉科技	0.019000 
2017-03-28	002094	青岛金王	0.028000 
2017-03-28	002095	生意宝	0.028000 
2017-03-28	002096	南岭民爆	0.010000 
2017-03-28	002097	山河智能	0.024000 
2017-03-28	002098	浔兴股份	0.013000 
2017-03-28	002099	海翔药业	0.031000 
2017-03-28	002100	天康生物	0.021000 
2017-03-28	002101	广东鸿图	0.016000 
2017-03-28	002102	冠福股份	0.036000 
2017-03-28	002103	广博股份	0.020000 
2017-03-28	002104	恒宝股份	0.029000 
2017-03-28	002105	信隆健康	0.011000 
2017-03-28	002106	莱宝高科	0.032000 
2017-03-28	002107	沃华医药	0.013000 
2017-03-28	002108	沧州明珠	0.043000 
2017-03-28	002110	三钢闽光	0.011000 
2017-03-28	002111	威海广泰	0.019000 
2017-03-28	002112	三变科技	0.011000 
2017-03-28	002113	天润数娱	0.033000 
2017-03-28	002114	罗平锌电	0.010000 
2017-03-28	002115	三维通信	0.014000 
2017-03-28	002116	中国海诚	0.013000 
2017-03-28	002117	东港股份	0.033000 
2017-03-28	002118	紫鑫药业	0.017000 
2017-03-28	002119	康强电子	0.014000 
2017-03-28	002120	韵达股份	0.021000 
2017-03-28	002121	科陆电子	0.025000 
2017-03-28	002122	天马股份	0.029000 
2017-03-28	002123	梦网荣信	0.030000 
2017-03-28	002124	天邦股份	0.018000 
2017-03-28	002125	湘潭电化	0.008000 
2017-03-28	002126	银轮股份	0.024000 
2017-03-28	002127	南极电商	0.032000 
2017-03-28	002128	露天煤业	0.028000 
2017-03-28	002129	中环股份	0.050000 
2017-03-28	002130	沃尔核材	0.028000 
2017-03-28	002131	利欧股份	0.043000 
2017-03-28	002132	恒星科技	0.019000 
2017-03-28	002133	广宇集团	0.019000 
2017-03-28	002134	天津普林	0.011000 
2017-03-28	002135	东南网架	0.012000 
2017-03-28	002136	安纳达	0.013000 
2017-03-28	002137	麦达数字	0.013000 
2017-03-28	002138	顺络电子	0.044000 
2017-03-28	002139	拓邦股份	0.017000 
2017-03-28	002140	东华科技	0.012000 
2017-03-28	002141	贤丰控股	0.023000 
2017-03-28	002142	宁波银行	0.169000 
2017-03-28	002143	印纪传媒	0.026000 
2017-03-28	002144	宏达高科	0.012000 
2017-03-28	002145	中核钛白	0.034000 
2017-03-28	002146	荣盛发展	0.051000 
2017-03-28	002147	新光圆成	0.021000 
2017-03-28	002148	北纬通信	0.020000 
2017-03-28	002149	西部材料	0.015000 
2017-03-28	002150	通润装备	0.008000 
2017-03-28	002151	北斗星通	0.029000 
2017-03-28	002152	广电运通	0.048000 
2017-03-28	002153	石基信息	0.035000 
2017-03-28	002154	报喜鸟	0.022000 
2017-03-28	002155	湖南黄金	0.040000 
2017-03-28	002156	通富微电	0.024000 
2017-03-28	002157	正邦科技	0.020000 
2017-03-28	002158	汉钟精机	0.010000 
2017-03-28	002159	三特索道	0.012000 
2017-03-28	002160	常铝股份	0.016000 
2017-03-28	002161	远望谷	0.026000 
2017-03-28	002162	悦心健康	0.013000 
2017-03-28	002163	中航三鑫	0.026000 
2017-03-28	002164	宁波东力	0.015000 
2017-03-28	002165	红宝丽	0.016000 
2017-03-28	002166	莱茵生物	0.022000 
2017-03-28	002167	东方锆业	0.031000 
2017-03-28	002168	深圳惠程	0.064000 
2017-03-28	002169	智光电气	0.018000 
2017-03-28	002170	芭田股份	0.027000 
2017-03-28	002171	楚江新材	0.017000 
2017-03-28	002172	澳洋科技	0.018000 
2017-03-28	002174	游族网络	0.046000 
2017-03-28	002175	东方网络	0.038000 
2017-03-28	002176	江特电机	0.054000 
2017-03-28	002177	御银股份	0.021000 
2017-03-28	002178	延华智能	0.024000 
2017-03-28	002179	中航光电	0.053000 
2017-03-28	002180	艾派克	0.026000 
2017-03-28	002181	粤传媒	0.016000 
2017-03-28	002182	云海金属	0.017000 
2017-03-28	002183	怡亚通	0.077000 
2017-03-28	002184	海得控制	0.011000 
2017-03-28	002185	华天科技	0.035000 
2017-03-28	002186	全聚德	0.016000 
2017-03-28	002187	广百股份	0.011000 
2017-03-28	002188	巴士在线	0.024000 
2017-03-28	002189	利达光电	0.013000 
2017-03-28	002190	成飞集成	0.026000 
2017-03-28	002191	劲嘉股份	0.042000 
2017-03-28	002192	融捷股份	0.020000 
2017-03-28	002193	山东如意	0.010000 
2017-03-28	002194	武汉凡谷	0.013000 
2017-03-28	002195	二三四五	0.052000 
2017-03-28	002196	方正电机	0.014000 
2017-03-28	002197	证通电子	0.019000 
2017-03-28	002198	嘉应制药	0.024000 
2017-03-28	002200	云投生态	0.013000 
2017-03-28	002201	九鼎新材	0.010000 
2017-03-28	002202	金风科技	0.121000 
