代码	名称	细分行业	地区	上市日期
000532	力合股份	元器件	广东	19940103
000533	万 家 乐	家用电器	广东	19940103
000534	万泽股份	区域地产	广东	19940110
000536	华映科技	元器件	福建	19931126
000537	广宇发展	区域地产	天津	19931210
000538	云南白药	中成药	云南	19931215
000539	粤电力Ａ	火力发电	广东	19931126
000540	中天城投	区域地产	贵州	19940202
000541	佛山照明	家用电器	广东	19931123
000543	皖能电力	火力发电	安徽	19931220
000544	中原环保	环境保护	河南	19931208
000545	金浦钛业	化工原料	吉林	19931215
000546	金圆股份	水泥	吉林	19931215
000547	航天发展	通信设备	福建	19931130
000548	湖南投资	路桥	湖南	19931220
000550	江铃汽车	汽车整车	江西	19931201
000551	创元科技	专用机械	江苏	19940106
000552	靖远煤电	煤炭开采	甘肃	19940106
000553	沙隆达Ａ	农药化肥	湖北	19931203
000554	泰山石油	石油贸易	山东	19931215
000555	神州信息	软件服务	深圳	19940408
000557	西部创业	红黄药酒	宁夏	19940617
000558	莱茵体育	文教休闲	浙江	19940509
000559	万向钱潮	汽车配件	浙江	19940110
000560	昆百大Ａ	百货	云南	19940202
000561	烽火电子	通信设备	陕西	19940509
000563	陕国投Ａ	多元金融	陕西	19940110
000564	供销大集	百货	陕西	19940110
000565	渝三峡Ａ	染料涂料	重庆	19940408
000566	海南海药	化学制药	海南	19940525
000567	海德股份	区域地产	海南	19940525
000568	泸州老窖	白酒	四川	19940509
000570	苏常柴Ａ	机械基件	江苏	19940701
000571	新大洲Ａ	煤炭开采	海南	19940525
000572	海马汽车	汽车整车	海南	19940808
000573	粤宏远Ａ	区域地产	广东	19940815
000576	广东甘化	造纸	广东	19940907
000581	威孚高科	汽车配件	江苏	19980924
000582	北部湾港	港口	广西	19951102
000584	友利控股	化纤	江苏	19951128
000585	东北电气	电气设备	江苏	19951213
000586	汇源通信	通信设备	四川	19951220
000587	金洲慈航	批发业	黑龙江	19960425
000589	黔轮胎Ａ	汽车配件	贵州	19960308
000590	启迪古汉	中成药	湖南	19960119
000591	太阳能	新型电力	重庆	19960208
000592	平潭发展	林业	福建	19960327
000593	大通燃气	供气供热	四川	19960312
000595	宝塔实业	机械基件	宁夏	19960419
000596	古井贡酒	白酒	安徽	19960927
000597	东北制药	化学制药	辽宁	19960523
000598	兴蓉环境	水务	四川	19960529
000599	青岛双星	汽车配件	山东	19960430
000600	建投能源	火力发电	河北	19960606
000601	韶能股份	水力发电	广东	19960830
000603	盛达矿业	铅锌	北京	19960823
000605	渤海股份	水务	北京	19960913
000606	神州易桥	化学制药	青海	19961004
000607	华媒控股	广告包装	浙江	19960830
000608	阳光股份	区域地产	广西	19960919
000609	绵石投资	区域地产	北京	19961010
000610	西安旅游	旅游服务	陕西	19960926
000611	*ST天首	纺织	内蒙	19961008
000612	焦作万方	铝	河南	19960926
000613	大东海A	旅游服务	海南	19970128
000615	京汉股份	化纤	湖北	19961016
000616	海航投资	全国地产	辽宁	19961108
000617	中油资本	多元金融	山东	19961022
000619	海螺型材	其他建材	安徽	19961023
000620	新华联	全国地产	北京	19961029
000622	*ST恒立	汽车配件	湖南	19961107
000623	吉林敖东	中成药	吉林	19961028
000625	长安汽车	汽车整车	重庆	19970610
000626	远大控股	商贸代理	江苏	19961128
000627	天茂集团	保险	湖北	19961112
000628	高新发展	园区开发	四川	19961118
000629	*ST钒钛	普钢	四川	19961115
000630	铜陵有色	铜	安徽	19961120
000631	顺发恒业	区域地产	吉林	19961122
000632	三木集团	综合类	福建	19961121
000633	*ST合金	综合类	辽宁	19961112
000635	英 力 特	化工原料	宁夏	19961120
000636	风华高科	元器件	广东	19961129
000637	茂化实华	石油加工	广东	19961114
000638	万方发展	批发业	辽宁	19961126
000639	西王食品	食品	山东	19961126
000650	仁和药业	中成药	江西	19961210
000651	格力电器	家用电器	广东	19961118
000652	泰达股份	批发业	天津	19961128
000655	金岭矿业	普钢	山东	19961128
000656	金科股份	区域地产	重庆	19961128
000657	中钨高新	小金属	海南	19961205
000659	珠海中富	广告包装	广东	19961203
000661	长春高新	生物制药	吉林	19961218
000662	天夏智慧	软件服务	广西	19961216
000663	永安林业	林业	福建	19961206
000665	湖北广电	影视音像	湖北	19961210
000666	经纬纺机	纺织机械	北京	19961210
000667	美好置业	全国地产	云南	19961205
000668	荣丰控股	区域地产	上海	19961210
000669	金鸿能源	供气供热	吉林	19961210
000670	*ST盈方	元器件	湖北	19961217
000671	阳 光 城	区域地产	福建	19961218
000672	上峰水泥	水泥	甘肃	19961218
000673	当代东方	影视音像	山西	19970124
000676	智度股份	互联网	河南	19961224
000677	恒天海龙	化纤	山东	19961226
000678	襄阳轴承	机械基件	湖北	19970106
000679	大连友谊	百货	辽宁	19970124
000680	山推股份	工程机械	山东	19970122
000681	视觉中国	互联网	江苏	19970121
000682	东方电子	电气设备	山东	19970121
000683	远兴能源	化工原料	内蒙	19970131
000685	中山公用	水务	广东	19970123
000686	东北证券	证券	吉林	19970227
000687	华讯方舟	通信设备	河北	19970221
000688	建新矿业	铅锌	重庆	19970120
000690	宝新能源	火力发电	广东	19970128
000691	ST亚太	区域地产	甘肃	19970228
000692	惠天热电	供气供热	辽宁	19970227
000693	ST华泽	小金属	四川	19970226
000695	滨海能源	供气供热	天津	19970218
000697	炼石有色	小金属	陕西	19970325
000698	沈阳化工	化工原料	辽宁	19970220
000700	模塑科技	汽车配件	江苏	19970228
000701	厦门信达	综合类	福建	19970226
000702	正虹科技	饲料	湖南	19970318
000703	恒逸石化	化纤	广西	19970328
000705	浙江震元	医药商业	浙江	19970410
000707	双环科技	化工原料	湖北	19970415
000708	大冶特钢	特种钢	湖北	19970326
000709	河钢股份	普钢	河北	19970416
000710	*ST天仪	汽车配件	四川	19970422
000711	京蓝科技	软件服务	黑龙江	19970411
000712	锦龙股份	多元金融	广东	19970415
000713	丰乐种业	种植业	安徽	19970422
000715	中兴商业	百货	辽宁	19970508
000716	黑芝麻	食品	广西	19970418
000717	*ST韶钢	钢加工	广东	19970508
000718	苏宁环球	区域地产	吉林	19970408
000719	大地传媒	出版业	河南	19970331
000720	新能泰山	火力发电	山东	19970509
000721	西安饮食	酒店餐饮	陕西	19970430
000722	湖南发展	水力发电	湖南	19970522
000723	美锦能源	焦炭加工	山西	19970515
000725	京东方Ａ	元器件	北京	20010112
000726	鲁 泰Ａ	纺织	山东	20001225
000727	华东科技	元器件	江苏	19970520
000728	国元证券	证券	安徽	19970616
000729	燕京啤酒	啤酒	北京	19970716
000731	四川美丰	农药化肥	四川	19970617
000732	泰禾集团	区域地产	福建	19970704
000733	振华科技	元器件	贵州	19970703
000735	罗 牛 山	农业综合	海南	19970611
000736	中房地产	全国地产	重庆	19970425
000737	南风化工	日用化工	山西	19970428
000738	中航动控	航空	江苏	19970626
000739	普洛药业	化学制药	浙江	19970509
000750	国海证券	证券	广西	19970709
000751	锌业股份	铅锌	辽宁	19970626
000752	西藏发展	啤酒	西藏	19970625
000753	漳州发展	汽车服务	福建	19970626
000755	山西三维	化工原料	山西	19970627
000756	新华制药	化学制药	山东	19970806
000757	浩物股份	汽车配件	四川	19970627
000758	中色股份	铅锌	北京	19970416
000759	中百集团	超市连锁	湖北	19970519
000760	斯太尔	汽车配件	湖北	19970627
000761	本钢板材	钢加工	辽宁	19980115
000762	西藏矿业	小金属	西藏	19970708
000766	通化金马	中成药	吉林	19970430
000767	漳泽电力	火力发电	山西	19970609
000768	中航飞机	航空	陕西	19970626
000776	广发证券	证券	广东	19970611
000777	中核科技	机械基件	江苏	19970710
000778	新兴铸管	钢加工	河北	19970606
000779	三毛派神	纺织	甘肃	19970528
000780	平庄能源	煤炭开采	内蒙	19970606
000782	美达股份	化纤	广东	19970619
000783	长江证券	证券	湖北	19970731
000785	武汉中商	百货	湖北	19970711
000786	北新建材	其他建材	北京	19970606
000788	北大医药	化学制药	重庆	19970616
000789	万年青	水泥	江西	19970923
000790	泰合健康	中成药	四川	19980327
000791	甘肃电投	水力发电	甘肃	19971014
000792	盐湖股份	农药化肥	青海	19970904
000793	华闻传媒	出版业	海南	19970729
