14:00,1759.26,    833	0	
14:01,1759.05,   2703	0	
14:02,1759.15,   1292	0	
14:03,1759.06,   2692	0	
14:04,1759.25,    425	0	
14:05,1759.65,   1633	0	
14:06,1760.56,   1983	0	
14:07,1761.14,   1485	0	
14:08,1761.50,   1383	0	
14:09,1761.69,    519	0	
14:10,1766.17,    525	0	
14:11,1766.40,   2097	0	
14:12,1766.43,     92	0	
14:13,1765.58,   2265	0	
14:14,1765.58,    274	0	
14:15,1765.74,    948	0	
14:16,1765.74,    207	0	
14:17,1765.42,   1927	0	
14:18,1765.32,    195	0	
14:19,1765.65,   1654	0
14:20,1748.98,   1052	0	
14:21,1748.16,   4018	0	
14:22,1747.76,    972	0	
14:23,1747.38,   2084	0	
14:24,1745.32,   4504	0	
14:25,1745.14,    983	0	
14:26,1745.05,    465	0	
14:27,1744.05,   3013	0	
14:28,1743.62,   1208	0	
14:29,1743.68,    624	0
14:30,1756.02,   3064	0	
14:31,1755.95,    336	0	
14:32,1754.42,   2230	0	
14:33,1753.97,    770	0	
14:34,1753.74,   1814	0	
14:35,1753.62,   1454	0	
14:36,1753.52,    471	0	
14:37,1753.39,   1333	0	
14:38,1752.96,   1001	0	
14:39,1752.27,   1179	0	
14:40,1751.48,    706	0	
14:41,1751.79,   1603	0	
14:42,1751.81,    167	0	
14:43,1751.78,    692	0	
14:44,1752.40,   4434	0	
14:45,1752.31,    813	0	
14:46,1752.53,   2890	0	
14:47,1752.27,    237	0	
14:48,1752.66,    639	0	
14:49,1752.81,   1111	0	
14:50,1726.26,   6646	0	
14:51,1726.18,   1880	0	
14:52,1725.19,   5470	0	
14:53,1725.31,   3027	0	
14:54,1724.95,   1051	0	
14:55,1723.76,   4566	0	
14:56,1723.78,   2477	0	
14:57,1723.83,   1907	0	
14:58,1722.78,   3521	0	
14:59,1722.58,   2519	0
