代码    名称
002003,伟星股份
002098,浔兴股份
002269,美邦服饰
002291,星期六
002345,潮宏基
002356,赫美集团
002425,凯撒文化
002485,希努尔
002486,嘉麟杰
002494,华斯股份
002503,搜于特
002563,森马服饰
002569,步森股份
002574,明牌珠宝
002612,朗姿股份
002634,棒杰股份
002640,跨境通
002656,摩登大道
002687,乔治白
002699,美盛文化
002721,金一文化
002731,萃华珠宝
002740,爱迪尔
002762,金发拉比
002763,汇洁股份
002776,柏堡龙
002832,比音勒芬
300005,探路者
300591,万里马
600086,东方金钰
600107,美尔雅
600137,浪莎股份
600177,雅戈尔
600272,开开实业
600398,海澜之家
600400,红豆股份
600439,瑞贝卡
600612,老凤祥
600884,杉杉股份
601566,九牧王
601718,际华集团
603001,奥康国际
603116,红蜻蜓
603518,维格娜丝
603555,贵人鸟
603608,天创时尚
603808,歌力思
603839,安正时尚
603877,太平鸟
603900,通灵珠宝
603958,哈森股份
